Configuration,Median (s),P95 (s),P99 (s)
Ethereum analog (12s blocks),9.183069148028153,14.766169573136722,15.909861953154904
Layer-2 rollup (2s blocks),4.136603913677391,5.954325444690767,6.933587206520313
High-throughput (0.4s blocks),3.3197983443387784,4.906551744526951,5.904813859440033
