Configuration,Median (s),P95 (s),P99 (s)
Ethereum analog (12s blocks),6.344716931848325,11.593282281490247,12.109381454424192
Layer-2 rollup (2s blocks),1.182191186356249,2.102281631441656,2.2476743816680034
High-throughput (0.4s blocks),0.4090676289606563,0.6526041703120882,0.7397526182588878
